model,seed,mae,mse,rse,ade,fde
grnn,42,0.6229814291000366,1.313621997833252,1.1461338996887207,1.2765917778015137,2.5902035236358643
rgnn,42,0.5381832718849182,1.1685398817062378,1.0809906721115112,1.1069951057434082,2.322295904159546
mlp,42,0.7610266804695129,2.5817320346832275,1.6067771911621094,1.655703067779541,2.9675121307373047
lstm,42,0.6097719073295593,1.5734294652938843,1.2543644905090332,1.2793232202529907,2.6410343647003174
rnn2gnn,42,0.5728961229324341,1.3857502937316895,1.1771793365478516,1.192628264427185,2.50882625579834
gnn2rnn,42,0.8534055352210999,1.96443772315979,1.4015843868255615,1.7585747241973877,2.6486809253692627
ConstantAvg,42,3.3207476139068604,43.81772232055664,6.619495391845703,8.398324966430664,10.16805648803711
RollingAvg,42,1.4846606254577637,8.877795219421387,2.979562997817993,3.4928817749023438,5.4111456871032715
grnn,0,0.6536022424697876,1.5783802270889282,1.2563364505767822,1.326922059059143,2.704612970352173
rgnn,0,0.5584719777107239,1.380569338798523,1.1749767065048218,1.1621233224868774,2.448500871658325
mlp,0,0.7339495420455933,2.4863858222961426,1.576828122138977,1.5929118394851685,2.7299957275390625
lstm,0,0.5974838733673096,1.8091235160827637,1.3450369834899902,1.2510288953781128,2.6024997234344482
rnn2gnn,0,0.6623569130897522,1.646491289138794,1.2831571102142334,1.3791919946670532,2.828066349029541
gnn2rnn,0,0.8303812146186829,2.167426586151123,1.472218632698059,1.7207012176513672,2.6598520278930664
ConstantAvg,42,3.49165940284729,52.12799835205078,7.219972133636475,8.66953182220459,10.418461799621582
RollingAvg,42,1.5270854234695435,10.42174243927002,3.2282724380493164,3.5660922527313232,5.5948710441589355
grnn,1,0.5771458745002747,1.450449824333191,1.2043466567993164,1.1914618015289307,2.4204976558685303
rgnn,1,0.5719884037971497,1.3835906982421875,1.1762617826461792,1.1628143787384033,2.5248966217041016
mlp,1,0.9041641354560852,4.064529895782471,2.01606822013855,1.9903676509857178,3.59128999710083
lstm,1,0.6345550417900085,1.8308452367782593,1.3530876636505127,1.310377836227417,2.665053606033325
rnn2gnn,1,0.6669352650642395,1.690434455871582,1.300167441368103,1.354535460472107,2.8597748279571533
gnn2rnn,1,0.9659562110900879,2.310554265975952,1.5200510025024414,1.9630553722381592,3.1514222621917725
ConstantAvg,42,4.065971851348877,67.45169067382812,8.212898254394531,10.00645637512207,12.096912384033203
RollingAvg,42,1.6984351873397827,12.503900527954102,3.536085605621338,3.91566801071167,6.189931392669678
grnn,24,0.7250597476959229,2.607156276702881,1.6146694421768188,1.4621118307113647,2.9395318031311035
rgnn,24,0.6970072984695435,4.183599948883057,2.0453853607177734,1.4405286312103271,3.01987361907959
mlp,24,0.8737802505493164,3.5368854999542236,1.880661129951477,1.9029067754745483,3.2925539016723633
lstm,24,0.8153557181358337,2.817695140838623,1.67859947681427,1.6450847387313843,3.373724937438965
rnn2gnn,24,0.7075099349021912,3.1075377464294434,1.7628211975097656,1.4612144231796265,3.073390007019043
gnn2rnn,24,1.0565185546875,4.771547794342041,2.184387445449829,2.1830155849456787,3.408493995666504
ConstantAvg,42,3.6397342681884766,54.31998825073242,7.370209693908691,8.836760520935059,10.588615417480469
RollingAvg,42,1.6036872863769531,10.613351821899414,3.2578141689300537,3.664689779281616,5.714408874511719
grnn,68,0.7405122518539429,2.408328056335449,1.5518791675567627,1.5557602643966675,3.1237576007843018
rgnn,68,0.7138604521751404,4.170475482940674,2.0421743392944336,1.4772992134094238,3.0066957473754883
mlp,68,0.9391683340072632,3.6080942153930664,1.899498701095581,2.0208683013916016,3.4372196197509766
lstm,68,0.7077121734619141,2.5622353553771973,1.600698709487915,1.4722044467926025,3.002244472503662
